alpha, beta, delta, gamma 
0.129758, 0.0161215, 0.0113065, 0.0943768
0.115781, 0.0145379, 0.0106014, 0.0922903
0.111284, 0.0123589, 0.0115778, 0.10142
0.119178, 0.0140237, 0.0114868, 0.0883851
0.105517, 0.0129039, 0.0122048, 0.123439
0.102593, 0.0125275, 0.0133125, 0.126336
0.0995593, 0.0130515, 0.0132829, 0.15397
0.114008, 0.0102573, 0.0139964, 0.151337
0.0913285, 0.00963225, 0.0141685, 0.15672
0.0930719, 0.00976333, 0.0147736, 0.132551
0.0818579, 0.00968453, 0.0135631, 0.132861
0.0760402, 0.0104376, 0.014198, 0.128692
0.0792008, 0.00955377, 0.0129817, 0.138107
0.0970292, 0.0104615, 0.0156946, 0.161868
0.0940431, 0.0114392, 0.0131325, 0.127054
0.118278, 0.01179, 0.0168056, 0.131188
0.11781, 0.0110622, 0.01566, 0.13504
0.0941962, 0.0101122, 0.0149786, 0.149506
0.0757569, 0.0120464, 0.0167418, 0.165867
0.0974736, 0.0117941, 0.0151595, 0.152099
0.0940173, 0.010928, 0.0157652, 0.142248
0.0863223, 0.010172, 0.0133397, 0.165321
0.0927856, 0.0111605, 0.0138385, 0.12517
0.120285, 0.0114142, 0.0136838, 0.126447
0.0911033, 0.0142484, 0.0109033, 0.100804
0.114252, 0.0136117, 0.0102335, 0.0837616
0.114814, 0.0148726, 0.00931359, 0.0722241
0.135337, 0.0163783, 0.00898409, 0.0798298
0.127843, 0.0153528, 0.00966566, 0.0769015
0.104715, 0.0150636, 0.00982454, 0.0679956
0.100002, 0.0143602, 0.00955078, 0.0899266
0.0995529, 0.01283, 0.00945736, 0.0814715
0.0862695, 0.0135299, 0.0100283, 0.0750476
